Tipo;Numero;Data;DataVencimento;Cliente;NIF;Artigo;Descricao;Qtd;Unidade;PU;Desconto%;IVA%;SubtotalSemIVA;TotalIVA;TotalLinha;Armazem;Vendedor;Observacoes
FR;FR 2025/3675;2025-01-13;2026-04-02;Eta Consulting SA;PT024836470;ART007;Artigo ART007 - Lote 8331;108;M3;937.45;5;13;96182.37;12503.71;108686.08;AZ03;Rui Costa;Ref 50525046
FT;FT 2025/7912;2026-06-11;2026-08-21;Iota Services SA;PT858277762;ART012;Artigo ART012 - Lote 6511;420;PC;2243.14;6;6;885591.67;53135.50;938727.17;AZ05;Catarina Lopes;Ref 41403583
FT;FT 2025/6483;2026-10-20;2026-06-06;Epsilon Tech SA;PT927443900;ART030;Artigo ART030 - Lote 6245;61;M3;1642.52;4;23;96185.97;22122.77;118308.74;AZ03;Catarina Lopes;Ref 08293063
ND;ND 2025/0254;2025-04-03;2026-06-27;Kappa Manufacturing Lda;PT895002980;ART055;Artigo ART055 - Lote 5343;163;L;195.57;10;13;28690.12;3729.72;32419.84;AZ02;Carlos Oliveira;Ref 97078315
FT;FT 2025/2584;2024-11-20;2026-12-03;Theta Group Lda;PT496813478;ART050;Artigo ART050 - Lote 3883;236;L;2716.04;0;23;640985.44;147426.65;788412.09;AZ01;Bruno Alves;Ref 69394892
ND;ND 2025/1706;2026-05-10;2025-03-26;Eta Consulting SA;PT091981451;ART033;Artigo ART033 - Lote 4671;314;UN;1826.64;12;13;504737.16;65615.83;570352.99;AZ05;Maria Santos;Ref 75804710
NC;NC 2025/2388;2024-09-20;2026-12-18;Gama Corp;PT005859983;ART007;Artigo ART007 - Lote 4701;397;KG;2063.51;3;23;794637.07;182766.53;977403.60;AZ05;Maria Santos;Ref 12861285
ND;ND 2025/8016;2024-06-23;2025-01-19;Delta Serviços Lda;PT978443599;ART003;Artigo ART003 - Lote 2412;136;UN;2926.02;0;23;397938.72;91525.91;489464.63;AZ05;Carlos Oliveira;Ref 56198130
NC;NC 2025/3007;2024-12-29;2026-09-09;ACME Lda;PT216014837;ART007;Artigo ART007 - Lote 7794;163;CX;2509.25;4;13;392647.44;51044.17;443691.61;AZ04;Rui Costa;Ref 98935706
RG;RG 2025/3756;2026-04-17;2025-08-12;Beta Solutions SA;PT518265842;ART050;Artigo ART050 - Lote 9641;127;CX;566.16;13;6;62555.02;3753.30;66308.32;AZ05;Catarina Lopes;Ref 27963031
RG;RG 2025/3749;2024-04-07;2026-04-01;Theta Group Lda;PT713066970;ART012;Artigo ART012 - Lote 4695;359;M3;1982.48;9;13;647656.39;84195.33;731851.72;AZ05;Catarina Lopes;Ref 53273193
FT;FT 2025/5226;2025-05-18;2025-06-25;Beta Solutions SA;PT255872794;ART007;Artigo ART007 - Lote 2686;91;L;2072.56;14;23;162198.55;37305.67;199504.22;AZ02;Bruno Alves;Ref 55701185
FT;FT 2025/2887;2025-02-14;2025-05-10;Iota Services SA;PT258200563;ART018;Artigo ART018 - Lote 6858;459;M;124.38;6;13;53664.99;6976.45;60641.44;AZ02;Bruno Alves;Ref 48777888
ND;ND 2025/4273;2026-02-12;2026-06-21;Kappa Manufacturing Lda;PT806444538;ART050;Artigo ART050 - Lote 8355;246;KG;1564.90;14;23;331070.24;76146.16;407216.40;AZ02;Maria Santos;Ref 05420566
FT;FT 2025/0090;2026-08-04;2025-05-06;Gama Corp;PT330899162;ART007;Artigo ART007 - Lote 1071;257;CX;301.89;4;13;74482.30;9682.70;84165.00;AZ02;Maria Santos;Ref 17372885
